x y label
4 5 a
4 0 b
4 4 a
4 1 b
4 4 a
4 0 b
4 5 a
4 0 b
4 5 a
4 0 b
4 5 a
4 1 b
4 7 a
4 0 b
4 4 a
4 0 b
4 5 a
4 0 b
4 9 a
4 1 b
4 5 a
4 0 b
4 5 a
4 0 b
4 4 a
4 0 b
4 5 a
4 0 b
4 5 a
4 0 b
4 5 a
4 0 b
4 4 a
4 0 b
4 5 a
4 0 b
4 6 a
4 1 b
4 6 a
4 0 b
4 4 a
4 0 b
4 6 a
4 0 b
4 6 a
4 0 b
4 8 a
4 1 b
4 8 a
4 1 b
6 111 a
6 2 b
6 109 a
6 1 b
6 84 a
6 1 b
6 109 a
6 1 b
6 106 a
6 1 b
6 92 a
6 3 b
6 83 a
6 1 b
6 104 a
6 1 b
6 85 a
6 1 b
6 129 a
6 4 b
6 132 a
6 3 b
6 123 a
6 1 b
6 108 a
6 2 b
6 151 a
6 2 b
6 120 a
6 1 b
6 130 a
6 2 b
6 139 a
6 1 b
6 101 a
6 1 b
6 163 a
6 1 b
6 132 a
6 1 b
6 97 a
6 2 b
6 89 a
6 2 b
6 85 a
6 2 b
6 129 a
6 3 b
6 133 a
6 1 b
8 2651 a
8 3 b
8 2717 a
8 4 b
8 2928 a
8 2 b
8 2630 a
8 3 b
8 2591 a
8 2 b
8 2639 a
8 2 b
8 2636 a
8 5 b
8 2786 a
8 3 b
8 3177 a
8 2 b
8 3006 a
8 3 b
8 2448 a
8 3 b
8 2627 a
8 6 b
8 2856 a
8 3 b
8 2634 a
8 4 b
8 2965 a
8 3 b
8 2777 a
8 2 b
8 2775 a
8 2 b
8 3071 a
8 2 b
8 2889 a
8 3 b
8 2714 a
8 3 b
8 2732 a
8 3 b
8 2532 a
8 4 b
8 2680 a
8 3 b
8 2940 a
8 3 b
8 2838 a
8 3 b
10 77588 a
10 3 b
10 96653 a
10 4 b
10 81157 a
10 3 b
10 81665 a
10 4 b
10 85571 a
10 3 b
10 78871 a
10 2 b
10 81753 a
10 4 b
10 79309 a
10 3 b
10 74027 a
10 4 b
10 77484 a
10 4 b
10 76028 a
10 3 b
10 76786 a
10 4 b
10 89868 a
10 3 b
10 74886 a
10 4 b
10 75574 a
10 3 b
10 75544 a
10 3 b
10 78802 a
10 3 b
10 75285 a
10 4 b
10 79089 a
10 4 b
10 75226 a
10 3 b
10 75420 a
10 2 b
10 81807 a
10 2 b
10 73464 a
10 4 b
10 77562 a
10 3 b
10 76658 a
10 3 b
