x y label
4 6 a
4 1 b
4 6 a
4 1 b
4 4 a
4 1 b
4 5 a
4 0 b
4 5 a
4 1 b
4 5 a
4 0 b
4 5 a
4 1 b
4 5 a
4 1 b
4 5 a
4 2 b
4 6 a
4 1 b
4 6 a
4 1 b
4 5 a
4 1 b
4 5 a
4 0 b
4 5 a
4 1 b
4 6 a
4 0 b
4 7 a
4 1 b
4 7 a
4 1 b
4 6 a
4 1 b
4 5 a
4 1 b
4 6 a
4 2 b
4 5 a
4 0 b
4 5 a
4 1 b
4 9 a
4 1 b
4 9 a
4 1 b
4 6 a
4 0 b
6 91 a
6 2 b
6 111 a
6 2 b
6 109 a
6 2 b
6 118 a
6 1 b
6 140 a
6 1 b
6 159 a
6 2 b
6 108 a
6 2 b
6 178 a
6 2 b
6 96 a
6 1 b
6 130 a
6 1 b
6 110 a
6 2 b
6 139 a
6 3 b
6 161 a
6 2 b
6 108 a
6 1 b
6 121 a
6 1 b
6 92 a
6 1 b
6 108 a
6 3 b
6 111 a
6 2 b
6 121 a
6 2 b
6 112 a
6 1 b
6 150 a
6 2 b
6 92 a
6 2 b
6 91 a
6 1 b
6 102 a
6 2 b
6 129 a
6 1 b
8 2892 a
8 4 b
8 2932 a
8 4 b
8 3097 a
8 4 b
8 3326 a
8 5 b
8 3990 a
8 4 b
8 3354 a
8 5 b
8 3044 a
8 3 b
8 3593 a
8 3 b
8 3240 a
8 2 b
8 3429 a
8 3 b
8 3251 a
8 8 b
8 3281 a
8 42 b
8 3432 a
8 3 b
8 3643 a
8 3 b
8 3416 a
8 4 b
8 3264 a
8 4 b
8 3100 a
8 5 b
8 3210 a
8 3 b
8 2860 a
8 6 b
8 3262 a
8 4 b
8 3064 a
8 3 b
8 3237 a
8 3 b
8 3533 a
8 4 b
8 3069 a
8 2 b
8 2862 a
8 3 b
10 93146 a
10 4 b
10 89040 a
10 3 b
10 89039 a
10 3 b
10 92353 a
10 3 b
10 89710 a
10 3 b
10 88685 a
10 4 b
10 93440 a
10 3 b
10 89423 a
10 4 b
10 90910 a
10 3 b
10 97262 a
10 4 b
10 104236 a
10 3 b
10 89547 a
10 12 b
10 92785 a
10 3 b
10 98469 a
10 8 b
10 106249 a
10 3 b
10 98323 a
10 3 b
10 92642 a
10 3 b
10 95676 a
10 3 b
10 91508 a
10 3 b
10 98048 a
10 4 b
10 90684 a
10 3 b
10 104407 a
10 3 b
10 92620 a
10 3 b
10 90915 a
10 3 b
10 90110 a
10 6 b
