x y label
4 5 a
4 1 b
4 5 a
4 1 b
8 2875 a
8 4 b
11 429746 a
11 4 b
9 14704 a
9 4 b
9 14311 a
9 3 b
4 6 a
4 1 b
4 4 a
4 1 b
11 423235 a
11 4 b
8 3077 a
8 6 b
4 5 a
4 1 b
8 2780 a
8 2 b
4 5 a
4 1 b
8 2704 a
8 3 b
11 424959 a
11 4 b
6 82 a
6 2 b
4 6 a
4 1 b
8 2977 a
8 3 b
5 16 a
5 2 b
9 14196 a
9 6 b
4 7 a
4 1 b
7 432 a
7 2 b
7 442 a
7 2 b
7 776 a
7 1 b
4 5 a
4 1 b
6 108 a
6 2 b
8 2781 a
8 7 b
6 152 a
6 2 b
6 126 a
6 2 b
7 571 a
7 2 b
8 3216 a
8 3 b
6 91 a
6 2 b
6 174 a
6 3 b
8 3129 a
8 5 b
8 3165 a
8 5 b
6 108 a
6 2 b
9 14374 a
9 4 b
6 87 a
6 2 b
6 118 a
6 2 b
6 88 a
6 2 b
6 173 a
6 2 b
7 623 a
7 3 b
6 104 a
6 2 b
11 428998 a
11 4 b
6 100 a
6 2 b
7 433 a
7 3 b
6 139 a
6 2 b
6 105 a
6 2 b
6 125 a
6 2 b
6 86 a
6 2 b
8 2815 a
8 3 b
8 2800 a
8 3 b
8 2792 a
8 3 b
8 2890 a
8 7 b
11 429390 a
11 4 b
8 2684 a
8 6 b
8 2813 a
8 5 b
8 2764 a
8 3 b
8 2742 a
8 3 b
9 14552 a
9 3 b
8 2811 a
8 2 b
8 2487 a
8 2 b
8 3038 a
8 3 b
9 14254 a
9 6 b
11 429532 a
11 4 b
8 2954 a
8 3 b
8 2864 a
8 3 b
8 2693 a
8 2 b
9 14255 a
9 3 b
8 3199 a
8 3 b
11 427998 a
11 5 b
8 2798 a
8 3 b
8 2458 a
8 2 b
8 3239 a
8 3 b
8 2848 a
8 3 b
10 77669 a
10 3 b
10 77312 a
10 3 b
10 84412 a
10 4 b
10 77742 a
10 3 b
10 79925 a
10 8 b
11 440105 a
11 4 b
10 77915 a
10 3 b
10 78158 a
10 3 b
10 76668 a
10 4 b
10 79430 a
10 5 b
11 446052 a
11 7 b
10 76186 a
10 3 b
10 76734 a
10 4 b
10 86375 a
10 4 b
10 78844 a
10 3 b
10 78063 a
10 4 b
10 77168 a
10 5 b
10 80096 a
10 3 b
10 80018 a
10 3 b
10 76088 a
10 3 b
10 80199 a
10 4 b
10 76245 a
10 4 b
10 77582 a
10 3 b
10 76715 a
10 6 b
10 79663 a
10 4 b
