x y label
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 1 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 0 a
4 0 b
4 1 a
4 0 b
6 0 a
6 2 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 1 a
6 0 b
6 0 a
6 1 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 0 a
6 0 b
6 1 a
6 0 b
6 0 a
6 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 1 a
8 0 b
8 1 a
8 0 b
8 0 a
8 0 b
8 1 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 1 a
8 0 b
8 1 a
8 1 b
8 2 a
8 1 b
8 0 a
8 0 b
8 0 a
8 0 b
8 1 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 0 a
8 0 b
8 1 a
8 0 b
10 0 a
10 1 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 1 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 1 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
10 0 a
10 0 b
